user_id,user_first_touch_timestamp,email
UA000000102357305,1592182691348767,null
UA000000102357308,1592183287634953,null
UA000000102357309,1592183302736627,null
UA000000102357321,1592184604178702,david23@orozco-parker.com
UA000000102357325,1592185154063628,null
UA000000102357335,1592186122660210,null
UA000000102357338,1592186300091435,null
UA000000102357348,1592187663145345,phillipmorgan@hotmail.com
UA000000102357350,1592187732257656,null
UA000000102357356,1592188311375015,null
UA000000102357359,1592188493100226,null
UA000000102357380,1592189552147084,null
UA000000102357383,1592189619333524,charlesbuck@long.com
UA000000102357393,1592190069262456,null
UA000000102357394,1592190115820569,null
UA000000102357395,1592190121523305,jeremyfarrell@hart.net
UA000000102357397,1592190176360255,null
UA000000102357399,1592190267930951,null
UA000000102357405,1592190369801282,null
UA000000102357407,1592190388382310,null
UA000000102357411,1592190541298188,null
UA000000102357414,1592190713937803,null
UA000000102357419,1592190787688448,null
UA000000102357443,1592191415122737,null
UA000000102357457,1592191686906534,null
UA000000102357458,1592191697978419,pruittfrances@hotmail.com
UA000000102357462,1592191898176879,null
UA000000102357488,1592192454220227,null
UA000000102357489,1592192459520769,null
UA000000102357495,1592192564413095,null
UA000000102357497,1592192612427696,null
UA000000102357499,1592192681470593,null
UA000000102357507,1592192850273065,uramirez78@gmail.com
UA000000102357526,1592193160593135,null
UA000000102357539,1592193490048752,null
UA000000102357555,1592193675842087,null
UA000000102357569,1592193952102101,null
UA000000102357573,1592194024071715,null
UA000000102357584,1592194173788911,macdonaldtyler@yahoo.com
UA000000102357587,1592194214393187,null
UA000000102357601,1592194366403589,null
UA000000102357605,1592194492408005,null
UA000000102357608,1592194522546719,null
UA000000102357609,1592194561791085,null
UA000000102357616,1592194615965849,null
UA000000102357621,1592194717706454,theresawatson@hotmail.com
UA000000102357623,1592194727455079,null
UA000000102357626,1592194772447739,bergjesse@yahoo.com
UA000000102357629,1592194842258268,null
UA000000102357658,1592195274985273,mitchellpowers@hotmail.com
UA000000102357671,1592195479078862,null
